date,vehicle,weight
2016-11-24,13,10.15
2016-11-24,,5.9
2016-11-24,13,8.95
2016-11-24,,10.5
2016-11-24,15,8.35
2016-11-24,15,8.45
2016-11-25,15,5.7
2016-11-25,,5.85
2016-11-25,,10.35
2016-11-25,13,10.3
2016-11-25,,10.3
2016-11-25,13,7.5
2016-11-28,15,9.1
2016-11-28,13,10.5
2016-11-28,,5.26
2016-11-28,13,11.35
2016-11-28,15,9.2
2016-11-28,,9.9
2016-11-28,,9.85
2016-11-28,,9.54
2016-11-28,13,11
2016-11-29,,10.42
2016-11-29,,9.1
2016-11-29,,10.26
2016-11-29,15,9.1
2016-11-29,15,9.45
2016-11-29,13,10.25
2016-11-29,13,9.85
2016-11-29,13,11.95
2016-11-30,15,10.45
2016-11-30,,9.78
2016-11-30,,4.52
2016-11-30,13,6.65
2016-11-30,13,11
2016-12-01,15,9.1
2016-12-01,13,10.55
2016-12-01,15,9.55
2016-12-01,,7.8
2016-12-01,,9.98
2016-12-01,13,7.1
2016-12-02,,8.6
2016-12-02,13,10.2
2016-12-02,15,8.3
2016-12-02,,10.26
2016-12-02,13,11.5
2016-12-02,,9.92
2016-12-05,,9.98
2016-12-05,13,10.6
2016-12-05,15,9.45
2016-12-05,,3.62
2016-12-05,13,5.6
2016-12-05,15,8.5
2016-12-06,15,8.95
2016-12-06,13,10.75
2016-12-06,,7.74
2016-12-06,15,6.4
2016-12-06,,10.1
2016-12-07,,5.34
2016-12-07,13,6.9
2016-12-07,13,10.75
2016-12-07,15,9.2
2016-12-07,,9.6
2016-12-07,15,5.1
2016-12-07,15,8.85
2016-12-08,13,6.4
2016-12-08,,9.72
2016-12-08,13,9.95
2016-12-08,15,8.85
2016-12-08,15,8.25
2016-12-08,,6.12
2016-12-09,15,8.65
2016-12-09,13,10
2016-12-09,15,11.2
2016-12-09,,9.94
2016-12-09,13,6.05
2016-12-12,15,8.75
2016-12-12,13,10.05
2016-12-12,15,5.55
2016-12-12,13,10.608
2016-12-12,,8.64
2016-12-12,15,9.25
2016-12-12,,9.78
2016-12-12,13,4.15
2016-12-13,,9.84
2016-12-13,15,10
2016-12-13,,6.52
2016-12-13,15,10.65
2016-12-13,13,10.25
2016-12-13,13,10.2
2016-12-14,,2.08
2016-12-14,,8.34
2016-12-14,15,6.45
2016-12-14,13,4.85
2016-12-14,13,10.15
2016-12-15,,4.72
2016-12-15,13,4.25
2016-12-15,13,9
2016-12-15,15,9.25
2016-12-15,,8.64
2016-12-15,15,4.65
2016-12-16,15,2.75
2016-12-16,15,9.1
2016-12-16,,6.54
2016-12-16,13,10.15
2016-12-16,,9.48
2016-12-16,13,6.25
2016-12-19,13,2.5
2016-12-19,,1.52
2016-12-19,,9.98
2016-12-19,13,9.85
2016-12-19,15,8.75
2016-12-19,,6.05
2016-12-20,13,8.75
2016-12-20,,8.45
2016-12-20,,8.66
2016-12-20,15,6.25
2016-12-20,13,4.05
2016-12-20,,5.34
2016-12-21,,7.58
2016-12-21,13,3.35
2016-12-21,15,8.75
2016-12-21,13,9.95
2016-12-21,15,1.95
2016-12-21,15,9.15
2016-12-22,13,7.75
2016-12-22,13,3.05
2016-12-22,15,8.45
2016-12-22,,4.24
2016-12-22,,9.68
2016-12-22,15,8.25
2016-12-23,15,8.45
2016-12-23,,9.34
2016-12-23,,5.78
2016-12-23,15,8.2
2016-12-23,13,5.1
2016-12-26,13,9.5
2016-12-26,,5.74
2016-12-26,13,5.5
2016-12-26,,9
2016-12-26,15,8.45
2016-12-27,,1.86
2016-12-27,,8.56
2016-12-27,15,3.45
2016-12-27,13,9.8
2016-12-27,13,5.2
2016-12-27,15,7.55
2016-12-28,13,1.75
2016-12-28,15,7.45
2016-12-28,,8.1
2016-12-29,,0.82
2016-12-29,13,1
2016-12-29,13,8.3
2016-12-29,,9.54
2016-12-29,15,8.35
2016-12-30,13,8.05
2016-12-30,,10
2016-12-30,15,9.95
2016-12-30,13,4.15
2017-01-02,,9.46
2017-01-02,13,8.35
2017-01-02,15,8.75
2017-01-02,13,0.95
2017-01-02,15,3.95
2017-01-03,13,3
2017-01-03,15,7.85
2017-01-03,,7.44
2017-01-03,13,7.8
2017-01-03,,3.92
2017-01-03,15,3.45
2017-01-04,13,0.65
2017-01-04,,9.24
2017-01-04,13,9.4
2017-01-04,15,8.55
2017-01-04,15,8.65
2017-01-05,13,3.45
2017-01-05,13,7.8
2017-01-05,,9.22
2017-01-05,,2.6
2017-01-05,15,7.45
2017-01-05,15,4.2
2017-01-06,13,7.3
2017-01-06,13,3.45
2017-01-06,,8.98
2017-01-06,15,8.35
2017-01-06,15,5.95
2017-01-09,13,7.1
2017-01-09,13,7.95
2017-01-09,15,7.88
2017-01-09,14,9.62
2017-01-09,14,7.52
2017-01-09,15,8.9
2017-01-10,14,7.22
2017-01-10,13,8.05
2017-01-10,13,8.75
2017-01-10,15,3.75
2017-01-10,15,8.95
2017-01-10,15,9.15
